City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kumluca,0,TR,1584475562,37,36.37,30.29,40.55,7.76
Barrow,1,US,1584475563,85,71.29,-156.79,10.4,10.29
Constitución,4,CL,1584475566,65,-35.33,-72.42,64.13,12.57
Kiama,0,AU,1584475569,93,-34.68,150.87,57.2,8.05
Launceston,88,AU,1584475570,93,-41.45,147.17,59.0,4.7
Chumikan,100,RU,1584475574,88,54.72,135.31,20.75,5.59
Lompoc,90,US,1584475575,57,34.64,-120.46,57.0,3.36
Katsuura,0,JP,1584475578,57,35.13,140.3,45.0,6.93
Haines Junction,1,CA,1584475579,70,60.75,-137.51,23.63,0.94
Mataura,3,NZ,1584475582,96,-46.19,168.86,39.99,1.01
Dikson,100,RU,1584475585,100,73.51,80.55,-3.19,6.64
Padang,14,ID,1584475586,91,-0.95,100.35,68.45,5.12
Nikolskoye,75,RU,1584475588,74,59.7,30.79,37.4,8.95
Sri Aman,55,MY,1584475590,94,1.24,111.46,77.0,1.79
Saint Paul Harbor,90,US,1584475442,93,57.79,-152.41,37.4,4.7
Albany,90,US,1584475593,66,42.6,-73.97,48.99,5.88
Portland,1,US,1584475371,53,45.52,-122.68,59.0,3.36
Laas,0,IT,1584475600,79,46.62,10.7,53.6,2.24
Nhulunbuy,3,AU,1584475602,88,-12.23,136.77,77.0,11.52
Sitka,1,US,1584475519,69,57.05,-135.33,39.2,9.4
Yulara,0,AU,1584475578,28,-25.24,130.99,80.6,6.93
Bodden Town,75,KY,1584475385,74,19.28,-81.25,82.4,14.99
Tazovsky,100,RU,1584475609,94,67.47,78.7,19.85,17.18
Neryungri,99,RU,1584475612,97,56.67,124.65,10.31,1.88
Kapaa,90,US,1584475615,94,22.08,-159.32,69.8,10.29
Lebu,0,CL,1584475617,58,-37.62,-73.65,66.11,9.48
Bethel,75,US,1584475582,81,41.37,-73.41,53.01,4.7
Jamestown,90,US,1584475574,74,42.1,-79.24,42.8,13.87
Mizdah,83,LY,1584475622,86,31.45,12.98,52.97,24.32
Atuona,2,PF,1584475466,74,-9.8,-139.03,82.49,9.64
Umm Kaddadah,9,SD,1584475625,15,13.6,26.69,74.39,13.49
Guerrero Negro,0,MX,1584475627,48,27.98,-114.06,66.83,10.8
Tiksi,99,RU,1584475542,89,71.69,128.87,-28.93,8.19
Cabedelo,40,BR,1584475632,70,-6.98,-34.83,86.0,12.75
Berbérati,31,CF,1584475633,41,4.26,15.79,74.21,2.39
Ndjolé,96,GA,1584475635,96,-0.18,10.76,74.57,2.35
Kuito,100,AO,1584475636,97,-12.38,16.93,59.09,5.12
Fort Nelson,75,CA,1584475638,58,58.81,-122.7,26.6,2.24
Lundazi,0,ZM,1584475640,89,-12.29,33.18,63.77,5.35
Longyearbyen,20,SJ,1584475377,75,78.22,15.64,-18.4,4.7
Saskylakh,7,RU,1584475644,80,71.92,114.08,-23.89,7.49
Paita,30,PE,1584475646,100,-5.09,-81.11,62.6,9.17
São João dos Patos,83,BR,1584475647,83,-6.5,-43.7,77.99,3.18
Bathsheba,20,BB,1584475534,58,13.22,-59.52,84.2,14.99
Vaini,75,TO,1584475490,100,-21.2,-175.2,78.8,4.7
Sept-Îles,90,CA,1584475650,92,50.2,-66.38,27.0,12.75
Broome,90,US,1584475654,86,42.25,-75.83,46.99,10.29
Lakatoro,75,VU,1584475656,100,-16.1,167.42,73.4,3.36
Hermanus,3,ZA,1584475658,90,-34.42,19.23,64.99,4.32
Carnarvon,100,AU,1584475660,78,-24.87,113.63,71.6,12.75
Svetlaya,67,RU,1584475662,64,46.54,138.33,29.03,5.97
Vardø,75,NO,1584475664,79,70.37,31.11,23.0,2.24
Port Lincoln,100,AU,1584475581,40,-34.73,135.87,72.05,4.07
Yangi Marg`ilon,94,UZ,1584475668,47,40.43,71.72,55.4,4.7
Hīt,100,IQ,1584475671,53,33.64,42.83,68.99,18.19
Kamenka,62,RU,1584475672,59,51.32,42.77,33.01,7.16
Tual,48,ID,1584475674,70,-5.67,132.75,81.95,2.51
Luján,90,AR,1584475676,94,-34.57,-59.1,71.6,18.34
São Filipe,67,CV,1584475680,80,14.9,-24.5,67.01,23.35
Lorengau,100,PG,1584475644,79,-2.02,147.27,82.49,8.12
Yichun,100,CN,1584475684,95,47.7,128.9,23.27,2.8
Meulaboh,100,ID,1584475435,84,4.14,96.13,79.07,9.71
Kargasok,97,RU,1584475687,79,59.06,80.86,28.13,18.72
Waipawa,91,NZ,1584475689,54,-41.41,175.52,55.4,8.05
Kaitong,60,CN,1584475691,41,44.81,123.15,37.31,13.09
Caxito,40,AO,1584475692,78,-8.58,13.66,82.4,6.93
Henties Bay,0,NA,1584475694,94,-22.12,14.28,62.01,1.01
Taoudenni,84,ML,1584475554,10,22.68,-3.98,77.45,5.5
Nampula,40,MZ,1584475599,83,-15.12,39.27,77.0,6.93
Solnechnyy,100,RU,1584475700,97,50.72,136.63,19.31,1.7
Sittwe,0,MM,1584475702,62,20.15,92.9,76.37,15.12
George Town,20,MY,1584475459,88,5.41,100.34,80.6,3.94
Koło,77,PL,1584475706,80,52.2,18.64,51.01,6.38
Bad Frankenhausen,100,DE,1584475708,70,51.35,11.1,51.01,8.05
Nizhniy Ingash,67,RU,1584475709,90,56.2,96.53,16.61,6.55
Winnemucca,90,US,1584475711,64,40.97,-117.74,39.2,17.22
Hasaki,75,JP,1584475715,86,35.73,140.83,39.2,1.12
Poum,21,NC,1584475719,79,-20.23,164.02,79.43,16.51
Balabac,0,PH,1584475722,78,7.99,117.06,79.43,12.06
Saint George,96,US,1584475633,43,37.1,-113.58,60.01,10.29
Bredasdorp,33,ZA,1584475483,72,-34.53,20.04,68.0,9.17
Tiznit Province,100,MA,1584475730,83,29.58,-9.5,47.75,12.91
Comodoro Rivadavia,20,AR,1584475504,56,-45.87,-67.5,68.0,13.87
Calama,41,CL,1584475734,40,-22.47,-68.93,71.6,27.51
Pevek,100,RU,1584475737,91,69.7,170.31,23.27,14.52
Hohhot,100,CN,1584475739,54,40.81,111.65,30.2,4.47
Khovd,0,MN,1584475578,55,48.01,91.64,26.33,0.96
Shudayag,55,RU,1584475743,92,63.53,53.61,19.31,8.77
Provideniya,100,RU,1584475645,96,64.38,-173.3,25.79,6.67
City of San Pedro,75,PH,1584475746,74,14.35,121.02,78.8,5.82
Medicine Hat,75,CA,1584475748,67,50.05,-110.67,24.01,16.11
Tuatapere,34,NZ,1584475750,96,-46.13,167.68,39.99,1.01
Esperance,90,AU,1584475751,93,-33.87,121.9,60.8,9.17
Diapaga,64,BF,1584475752,8,12.07,1.79,87.17,6.02
Zabul Province,0,AF,1584475755,62,32.25,67.25,46.31,6.17
Naze,95,JP,1584475759,59,28.37,129.48,64.4,6.93
Thinadhoo,62,MV,1584475761,75,0.53,72.93,84.83,14.45
Huntingdon,1,GB,1584475714,81,52.33,-0.19,54.0,12.75
Bānsgāon,0,IN,1584475765,47,26.56,83.35,66.11,6.96
Cayenne,3,GF,1584475481,74,4.93,-52.33,80.6,11.41
Oktyabr'skiy,75,RU,1584475768,93,54.48,53.47,26.33,6.82
Marystown,11,CA,1584475770,73,47.17,-55.15,29.93,22.73
Pāveh,83,IR,1584475772,86,35.04,46.36,41.27,10.74
Cap Malheureux,40,MU,1584475773,94,-19.98,57.61,75.2,2.24
El Tigre,61,VE,1584475644,33,8.89,-64.25,92.21,12.28
Kaitangata,4,NZ,1584475661,81,-46.28,169.85,45.77,9.4
Homer,90,US,1584475779,96,59.64,-151.55,36.0,4.7
Bambous Virieux,40,MU,1584475780,94,-20.34,57.76,75.2,2.24
Rock Sound,0,BS,1584475782,79,24.9,-76.2,73.67,8.93
Lakeside,75,US,1584475590,51,30.13,-81.77,86.0,6.93
Khatanga,78,RU,1584475786,84,71.97,102.5,-16.33,8.99
Mahébourg,40,MU,1584475788,94,-20.41,57.7,75.2,2.24
Kilimatinde,100,TZ,1584475790,98,-5.85,34.95,68.63,1.74
Ouallam,0,NE,1584475792,9,14.32,2.09,86.99,8.57
Merauke,74,ID,1584475793,95,-8.47,140.33,74.03,4.9
Ilulissat,98,GL,1584475796,64,69.22,-51.1,-0.67,9.19
Thompson,5,CA,1584475798,54,55.74,-97.86,-0.4,6.93
Aldan,79,RU,1584475800,99,58.6,125.39,7.61,0.81
Baruun-Urt,100,MN,1584475708,75,46.68,113.28,24.89,6.62
Iqaluit,90,CA,1584475804,78,63.75,-68.51,15.8,16.11
Klungkung,20,ID,1584475806,88,-8.53,115.4,80.6,2.24
Alofi,84,NU,1584475808,83,-19.06,-169.92,82.4,9.17
Ixtapa,20,MX,1584475809,78,20.7,-105.2,78.8,11.41
Vaitape,100,PF,1584475811,73,-16.52,-151.75,82.67,8.1
Cape Coast,100,GH,1584475812,84,5.11,-1.25,83.21,17.43
San Antonio,90,US,1584475582,47,29.42,-98.49,84.0,11.41
Omboué,95,GA,1584475816,97,-1.57,9.26,75.83,2.73
Manokwari,82,ID,1584475730,77,-0.87,134.08,73.31,4.41
Kathmandu,20,NP,1584475820,93,27.72,85.32,51.8,3.36
Kaniama,100,CD,1584475822,99,-7.57,24.18,67.37,2.26
Chokurdakh,100,RU,1584475823,97,70.63,147.92,-4.45,9.51
Saint-Philippe,75,RE,1584475825,94,-21.36,55.77,75.2,8.05
Pangnirtung,90,CA,1584475773,65,66.15,-65.71,8.6,6.93
Coyhaique,0,CL,1584475833,42,-45.58,-72.07,66.2,3.36
Ulladulla,0,AU,1584475838,93,-35.35,150.47,57.2,8.05
Acapulco de Juárez,5,MX,1584475841,70,16.86,-99.89,86.0,10.29
Adrar,100,MR,1584475843,24,20.5,-10.07,72.41,10.38
Pokhvistnevo,64,RU,1584475846,89,53.65,52.13,28.85,6.62
San Cristobal,40,VE,1584475847,58,7.77,-72.22,84.2,9.17
San Jerónimo,100,PE,1584475848,69,-11.95,-75.28,52.25,3.0
Kloulklubed,75,PW,1584475850,83,7.04,134.26,75.2,3.36
Hambantota,100,LK,1584475564,81,6.12,81.12,79.07,12.66
Orlik,0,RU,1584475593,94,52.52,99.83,-4.09,3.36
Sarishābāri,0,BD,1584475856,42,24.73,89.83,70.79,1.59
Talhar,0,PK,1584475859,26,24.88,68.82,72.77,6.31
Cockburn Town,1,TC,1584475862,73,21.46,-71.14,75.83,15.88
Alta Floresta,20,BR,1584475805,59,-9.88,-56.09,89.6,9.17
Tessalit,93,ML,1584475866,16,20.2,1.01,83.03,8.01
Gijang,0,KR,1584475869,75,35.24,129.21,41.0,3.36
Kruisfontein,0,ZA,1584475870,64,-34.0,24.73,66.29,6.15
São João da Barra,75,BR,1584475872,70,-21.64,-41.05,84.2,16.11
Grand Gaube,40,MU,1584475875,94,-20.01,57.66,75.2,2.24
Paragominas,3,BR,1584475877,85,-2.97,-47.48,80.51,3.18
Hithadhoo,92,MV,1584475878,75,-0.6,73.08,84.65,12.41
Iquitos,75,PE,1584475882,79,-3.75,-73.25,84.2,9.17
Duluth,40,US,1584475884,40,46.78,-92.11,37.99,11.41
Vestmannaeyjar,77,IS,1584475888,70,63.44,-20.27,34.97,2.53
Madimba,40,TZ,1584475892,94,-10.4,40.33,75.2,2.08
Banda Aceh,34,ID,1584475893,79,5.56,95.32,74.03,3.22
Arraial do Cabo,75,BR,1584475896,83,-22.97,-42.03,78.8,4.7
Puri,0,IN,1584475897,88,19.8,85.85,78.8,4.7
Churapcha,98,RU,1584475899,99,62.0,132.43,-3.37,3.36
Mackenzie,1,CA,1584475901,88,55.3,-123.17,32.0,5.82
Beringovskiy,38,RU,1584475902,87,63.05,179.32,30.11,15.93
Emerald,0,AU,1584475904,88,-23.53,148.17,64.4,5.82
Cidreira,93,BR,1584475837,79,-30.18,-50.21,73.67,19.17
Andenes,75,NO,1584475908,71,69.31,16.12,35.6,26.4
Novikovo,38,RU,1584475910,67,51.15,37.89,32.63,5.77
Kavieng,100,PG,1584475912,75,-2.57,150.8,83.03,12.35
Ntoum,40,GA,1584475915,79,0.38,9.78,86.0,8.05
Bud,40,US,1584475917,53,39.45,-86.18,55.99,6.93
Shimoda,0,JP,1584475919,61,34.67,138.95,55.0,1.01
Sobolevo,100,RU,1584475920,88,54.43,31.9,36.05,6.62
Klaksvík,0,FO,1584475922,64,62.23,-6.59,37.4,14.99
Pimentel,40,PE,1584475923,29,-6.84,-79.93,66.2,12.75
Turka,88,UA,1584475925,73,49.15,23.03,43.0,1.5
Hamilton,90,US,1584475646,53,39.18,-84.53,52.0,8.05
Vallenar,0,CL,1584475928,55,-28.57,-70.76,70.25,10.45
Kysyl-Syr,100,RU,1584475930,88,63.9,122.76,-13.27,8.28
Eureka,90,US,1584475899,75,40.8,-124.16,46.99,5.82
San Juan del Sur,20,NI,1584475933,66,11.25,-85.87,86.0,6.93
Narsaq,20,GL,1584475935,43,60.92,-46.05,15.8,4.07
Fortuna,90,US,1584475936,87,40.6,-124.16,46.99,12.75
Bichura,47,RU,1584475938,86,50.59,107.6,16.07,8.34
Bandarbeyla,47,SO,1584475940,72,9.49,50.81,79.61,12.95
Kieta,0,PG,1584475941,79,-6.22,155.63,80.33,4.05
Sant Feliu de Guíxols,20,ES,1584475921,93,41.78,3.03,55.0,5.82
Arrondissement de Cholet,75,FR,1584475944,76,47.17,-1.0,55.4,2.24
Yar-Sale,83,RU,1584475657,86,66.83,70.83,14.45,12.26
Pacifica,75,US,1584475947,50,37.61,-122.49,57.0,4.7
Port Elizabeth,0,ZA,1584475949,78,-33.92,25.57,68.99,7.16
Pitimbu,40,BR,1584475950,70,-7.47,-34.81,86.0,12.75
Abu Dhabi,0,AE,1584475845,69,24.47,54.37,77.0,5.82
Tuy Hoa,7,VN,1584475955,75,13.08,109.3,76.91,5.21
Şuraabad,66,AZ,1584475957,67,40.82,49.47,42.8,20.8
Gloucester,75,GB,1584475960,81,51.87,-2.24,54.0,10.29
Lamar,90,US,1584475962,93,33.67,-95.58,62.6,11.41
Roald,40,NO,1584475964,80,62.58,6.13,41.0,27.51
Anadyr,20,RU,1584475966,79,64.75,177.48,21.2,8.95
Marawi,95,PH,1584475969,89,8.0,124.29,73.99,5.01
Payo,99,ID,1584475971,98,-3.75,103.64,68.27,1.7
Nianzishan,100,CN,1584475973,93,47.52,122.88,33.71,5.86
Bakel,0,SN,1584475975,10,14.9,-12.46,86.81,9.28
The Valley,20,AI,1584475976,61,18.22,-63.06,84.2,11.41
Saldanha,0,ZA,1584475877,82,-33.01,17.94,62.6,9.17
Buala,0,SB,1584475980,81,-8.14,159.59,80.69,2.21
Bol,95,TD,1584475981,21,13.46,14.71,78.89,14.16
Bella Union,28,UY,1584475983,41,-30.28,-57.6,89.69,4.7
Borogontsy,98,RU,1584475925,100,62.67,131.17,-5.17,2.8
Ceres,90,US,1584475695,62,37.59,-120.96,55.99,9.17
Mongoumba,19,CF,1584475987,55,3.64,18.59,80.69,2.98
Santa Maria,0,BR,1584475990,58,-29.68,-53.81,86.0,12.75
Kahului,1,US,1584475991,69,20.89,-156.47,79.0,22.7
Labytnangi,0,RU,1584475993,79,66.66,66.42,15.53,14.58
Socorro,90,US,1584475994,37,31.65,-106.3,66.99,21.92
Tvøroyri,73,FO,1584475996,64,61.56,-6.81,37.4,14.99
Westerland,87,DE,1584475997,88,54.91,8.3,46.0,7.0
Prado,0,BR,1584475998,79,-17.34,-39.22,81.23,12.15
Dudinka,40,RU,1584475736,84,69.41,86.18,8.6,26.84
Alice Springs,0,AU,1584475743,56,-23.7,133.88,68.0,3.36
Palauig,18,PH,1584476004,79,15.44,119.9,71.87,4.97
Tynda,100,RU,1584476005,93,55.17,124.72,14.99,0.29
Vila Franca do Campo,20,PT,1584476009,72,37.72,-25.43,60.8,6.93
Carauari,100,BR,1584476011,91,-4.88,-66.9,81.59,2.8
Parrita,20,CR,1584475946,44,9.52,-84.32,84.2,16.11
Ibirubá,95,BR,1584476015,40,-28.63,-53.09,87.17,3.78
São José da Coroa Grande,0,BR,1584476017,75,-8.9,-35.15,83.57,12.8
Broken Hill,0,AU,1584476018,45,-31.95,141.43,68.0,9.17
Marsh Harbour,0,BS,1584476020,67,26.54,-77.06,72.77,9.01
Azare,100,NG,1584476022,8,11.68,10.19,79.07,9.66
Kushima,61,JP,1584476024,76,31.46,131.23,50.0,3.0
Sebezh,100,RU,1584476025,75,56.3,28.47,34.79,8.34
Miraflores,20,MX,1584476027,25,19.22,-98.81,86.0,13.87
Tegul'det,100,RU,1584476028,88,57.31,88.17,28.13,11.18
Sayyan,75,YE,1584476030,64,15.17,44.32,61.25,4.32
Brae,12,GB,1584476031,61,60.4,-1.35,41.0,27.51
San Quintín,90,MX,1584476034,56,30.48,-115.95,60.17,6.76
Quatre Cocos,20,MU,1584476035,94,-20.21,57.76,75.2,2.24
Kota Bharu,20,MY,1584476037,88,6.13,102.24,78.8,2.24
Nome,90,US,1584476039,92,64.5,-165.41,27.0,16.11
Nago,75,JP,1584476041,68,26.59,127.98,64.4,3.36
Harar,89,ET,1584476042,64,9.31,42.13,68.09,5.46
Ostrovnoy,4,RU,1584476044,92,68.05,39.51,19.67,15.28
Jaciara,37,BR,1584476047,85,-15.97,-54.97,80.51,3.69
Torbay,20,CA,1584476044,63,47.67,-52.73,28.99,20.8
Najrān,0,SA,1584476051,31,17.49,44.13,77.0,4.83
Mareeba,75,AU,1584476053,78,-17.0,145.43,77.0,10.29
Arman',100,RU,1584476056,94,59.7,150.17,11.03,9.35
Tura,0,IN,1584476057,43,25.52,90.22,66.29,1.97
Erzin,75,TR,1584476059,100,36.96,36.2,51.8,8.05
Villa del Rosario,40,CO,1584476060,58,7.83,-72.47,84.2,9.17
Airai,0,TL,1584476062,82,-8.93,125.41,63.77,4.32
Athabasca,100,CA,1584476063,83,54.72,-113.29,20.57,4.99
Mumbwa,100,ZM,1584476065,93,-14.98,27.06,64.67,3.91
Denpasar,20,ID,1584476066,88,-8.65,115.22,80.6,2.24
Baykit,100,RU,1584476068,91,61.67,96.37,-0.67,2.3
Grindavik,75,IS,1584476073,86,63.84,-22.43,32.0,24.16
Dunedin,0,NZ,1584475852,75,-45.87,170.5,46.85,4.12
Saint-Augustin,100,CA,1584476077,80,51.23,-58.65,27.41,23.87
Verkhnyaya Inta,74,RU,1584476078,90,65.98,60.31,17.15,19.17
Acaraú,100,BR,1584476080,86,-2.89,-40.12,77.81,5.37
Mangit,95,UZ,1584476081,47,40.6,70.96,55.4,4.7
Huilong,0,CN,1584476083,38,31.81,121.66,62.01,5.82
Narasimharājapura,0,IN,1584476085,68,13.62,75.52,68.27,2.66
Pochutla,40,MX,1584476087,49,15.74,-96.47,89.6,13.87
Panjāb,13,AF,1584476088,98,34.39,67.02,17.33,2.84
Nouadhibou,88,MR,1584476089,64,20.93,-17.03,68.0,23.04
Auki,0,SB,1584476067,74,-8.77,160.7,83.75,3.76
Libertador General San Martín,83,AR,1584476094,68,-23.81,-64.79,75.83,3.11
Tadine,98,NC,1584476095,74,-21.55,167.88,76.91,13.87
Syedove,0,UA,1584476097,59,47.08,38.16,43.07,14.09
Arlit,15,NE,1584476100,7,18.74,7.39,82.31,12.17
Lodja,100,CD,1584476101,99,-3.48,23.43,67.73,0.47
Pudozh,95,RU,1584476104,78,61.81,36.53,30.29,12.82
Teshie,100,GH,1584476108,79,5.58,-0.11,84.2,16.11
Ust-Nera,62,RU,1584476110,100,64.57,143.2,-24.79,1.61
Ancud,40,CL,1584476112,63,-41.87,-73.82,62.6,5.82
Makakilo City,90,US,1584475997,88,21.35,-158.09,77.0,9.17
Kozhva,59,RU,1584476117,90,65.11,57.05,17.33,8.25
Pizarro,2,CO,1584476118,79,4.95,-77.37,79.97,9.33
Jiaocheng,98,CN,1584476121,94,24.68,116.14,60.89,1.32
Lagoa,0,PT,1584476122,79,39.05,-27.98,62.69,15.97
Norman Wells,90,CA,1584476124,85,65.28,-126.83,21.2,4.29
Nanortalik,0,GL,1584476126,57,60.14,-45.24,19.85,14.27
Itarema,100,BR,1584476128,86,-2.92,-39.92,77.81,5.37
Okha,69,RU,1584476130,96,53.57,142.95,11.21,6.35
Glace Bay,90,CA,1584476011,84,46.2,-59.96,35.01,16.11
Ondjiva,100,AO,1584475865,86,-17.07,15.73,70.07,7.54
Taksimo,30,RU,1584476137,81,56.34,114.88,11.21,6.51
Buin,0,CL,1584476139,29,-33.73,-70.75,80.6,6.93
Flinders,0,AU,1584476140,93,-34.58,150.86,57.2,8.05
Seoul,1,KR,1584476018,64,37.57,126.98,35.6,1.12
Terney,0,RU,1584476144,74,45.05,136.61,20.93,7.99
Rio Grande,40,BR,1584476027,54,-32.03,-52.1,84.2,13.87
Mogadishu,8,SO,1584476014,80,2.04,45.34,83.21,23.4
Saint-Pierre,90,RE,1584476149,94,-21.34,55.48,75.2,5.82
Nobeoka,97,JP,1584476152,87,32.58,131.67,41.63,5.28
Ocós,75,GT,1584476155,46,14.51,-92.19,93.2,9.17
Santander,0,ES,1584476157,87,43.46,-3.8,54.0,4.7
Westport,75,US,1584476159,81,41.14,-73.36,54.0,4.7
Varkala,40,IN,1584476161,48,8.73,76.71,86.0,5.82
Kuandian,39,CN,1584476162,65,40.73,124.78,35.33,6.71
Sørland,75,NO,1584476164,71,67.67,12.69,39.2,6.93
Srednekolymsk,97,RU,1584476090,96,67.45,153.68,-11.29,8.37
Arrondissement d'Issoudun,1,FR,1584476169,82,47.0,1.83,55.4,6.93
Tigil',100,RU,1584476170,87,57.8,158.67,8.33,2.64
Tete,40,MZ,1584476172,61,-16.16,33.59,80.6,6.93
Caraballeda,16,VE,1584476173,73,10.61,-66.85,79.0,9.17
Rundu,100,NA,1584476175,69,-17.93,19.77,75.2,12.75
Severodvinsk,100,RU,1584476176,59,64.56,39.83,33.8,8.95
Geraldton,90,AU,1584476178,60,-28.77,114.6,69.8,10.29
Aksu,29,CN,1584476179,26,41.12,80.26,46.31,7.56
Normandin,90,CA,1584476182,80,48.83,-72.53,37.0,13.87
Newport,90,GB,1584476039,93,51.59,-3.0,54.0,17.22
Mahibadhoo,67,MV,1584476190,78,3.78,72.97,84.11,16.71
Lata,20,PT,1584476157,82,40.16,-8.33,61.0,5.82
Tiruchchendur,11,IN,1584476194,78,8.48,78.12,80.69,12.53
Darhan,93,MN,1584476199,62,49.49,105.92,24.53,12.59
Fairbanks,1,US,1584476201,73,64.84,-147.72,34.0,6.93
Coihueco,0,CL,1584476148,32,-36.62,-71.83,80.6,10.29
Tilichiki,100,RU,1584476205,85,60.47,166.1,13.01,4.25
Okoneshnikovo,96,RU,1584476207,86,54.84,75.08,30.47,18.39
Korla,45,CN,1584476125,52,41.76,86.15,48.0,5.99
Noumea,28,NC,1584475936,88,-22.28,166.46,69.8,2.24
Río Gallegos,45,AR,1584476212,19,-51.62,-69.22,69.8,13.87
Langsa,100,ID,1584476214,88,4.47,97.97,75.29,2.35
Los Llanos de Aridane,75,ES,1584476218,72,28.66,-17.92,62.6,19.46
Province of Trapani,75,IT,1584476221,77,37.83,12.67,59.0,2.24
Souillac,20,MU,1584476120,94,-20.52,57.52,75.2,2.24
Bengkulu,88,ID,1584476088,93,-3.8,102.27,73.49,3.98
Bilibino,100,RU,1584476225,96,68.05,166.44,20.75,4.97
Mastic,90,US,1584476226,81,40.8,-72.84,53.01,3.36
Kungurtug,0,RU,1584476228,80,50.6,97.52,5.63,3.56
Shubarshi,100,KZ,1584476230,78,48.59,57.19,31.73,1.41
Nizhniy Kuranakh,86,RU,1584476233,97,58.84,125.49,11.75,1.19
Belyy Yar,100,RU,1584476234,85,53.6,91.39,24.8,2.24
San Patricio,40,MX,1584476235,74,19.22,-104.7,87.8,11.41
Cabra,30,ES,1584476237,55,37.47,-4.44,60.8,11.41
Rawson,0,AR,1584476238,66,-43.3,-65.1,61.07,11.63
Annaka,66,JP,1584476240,88,36.32,138.9,36.0,1.01
Leer,0,SS,1584476243,33,8.3,30.14,81.59,3.58
Bend,1,US,1584476127,52,44.06,-121.32,45.0,7.74
Joshīmath,0,IN,1584476247,38,30.57,79.57,33.35,9.4
Ulaangom,100,MN,1584476137,95,49.98,92.07,10.85,3.15
Ulaanbaatar,40,MN,1584476222,73,47.91,106.88,24.8,20.13
Bendigo,33,AU,1584476253,67,-36.77,144.28,59.0,3.91
Bétaré Oya,100,CM,1584476255,26,5.6,14.08,75.11,2.75
Luebo,100,CD,1584476257,98,-5.35,21.42,69.35,2.48
